sku,qty,ref,val,vendor
A-1095,8,-,bat46,tayda
https://www.aliexpress.com/item/1005004990907467.html,1,-,sd_card,aliexpress
https://www.aliexpress.com/item/1005002962792811.html,1,-,otg_adapter,aliexpress
-,2,-,m3x25mm_screws,anywhere
-,2,-,m3_nuts,anywhere
A-003,1,-,dip16_socket,tayda
A-198,1,-,2x20_pin_header,tayda
A-4815,5,-,A25_tact_caps_12mm,tayda
https://www.aliexpress.com/item/32810107963.html,1,-,A11_tact_cap_5way,aliexpress
